title,url
Barbie,https://letterboxd.com/film/barbie/
Parasite,https://letterboxd.com/film/parasite-2019/
Fight Club,https://letterboxd.com/film/fight-club/
Everything Everywhere All at Once,https://letterboxd.com/film/everything-everywhere-all-at-once/
La La Land,https://letterboxd.com/film/la-la-land/
Interstellar,https://letterboxd.com/film/interstellar/
Oppenheimer,https://letterboxd.com/film/oppenheimer-2023/
Joker,https://letterboxd.com/film/joker-2019/
Pulp Fiction,https://letterboxd.com/film/pulp-fiction/
Whiplash,https://letterboxd.com/film/whiplash-2014/
Dune,https://letterboxd.com/film/dune-2021/
Spider-Man: Into the Spider-Verse,https://letterboxd.com/film/spider-man-into-the-spider-verse/
Get Out,https://letterboxd.com/film/get-out-2017/
Midsommar,https://letterboxd.com/film/midsommar/
The Batman,https://letterboxd.com/film/the-batman/
Knives Out,https://letterboxd.com/film/knives-out-2019/
The Dark Knight,https://letterboxd.com/film/the-dark-knight/
The Truman Show,https://letterboxd.com/film/the-truman-show/
Inception,https://letterboxd.com/film/inception/
Saltburn,https://letterboxd.com/film/saltburn/
Poor Things,https://letterboxd.com/film/poor-things-2023/
Spider-Man: Across the Spider-Verse,https://letterboxd.com/film/spider-man-across-the-spider-verse/
American Psycho,https://letterboxd.com/film/american-psycho/
Lady Bird,https://letterboxd.com/film/lady-bird/
Eternal Sunshine of the Spotless Mind,https://letterboxd.com/film/eternal-sunshine-of-the-spotless-mind/
Dune: Part Two,https://letterboxd.com/film/dune-part-two/
The Wolf of Wall Street,https://letterboxd.com/film/the-wolf-of-wall-street/
The Grand Budapest Hotel,https://letterboxd.com/film/the-grand-budapest-hotel/
Spirited Away,https://letterboxd.com/film/spirited-away/
The Menu,https://letterboxd.com/film/the-menu-2022/
Spider-Man: No Way Home,https://letterboxd.com/film/spider-man-no-way-home/
The Shining,https://letterboxd.com/film/the-shining/
Gone Girl,https://letterboxd.com/film/gone-girl/
Black Swan,https://letterboxd.com/film/black-swan/
Once Upon a Time... in Hollywood,https://letterboxd.com/film/once-upon-a-time-in-hollywood/
Forrest Gump,https://letterboxd.com/film/forrest-gump/
Little Women,https://letterboxd.com/film/little-women-2019/
Inglourious Basterds,https://letterboxd.com/film/inglourious-basterds/
Se7en,https://letterboxd.com/film/se7en/
Challengers,https://letterboxd.com/film/challengers/
10 Things I Hate About You,https://letterboxd.com/film/10-things-i-hate-about-you/
The Silence of the Lambs,https://letterboxd.com/film/the-silence-of-the-lambs/
Kill Bill: Vol. 1,https://letterboxd.com/film/kill-bill-vol-1/
Avengers: Infinity War,https://letterboxd.com/film/avengers-infinity-war/
The Godfather,https://letterboxd.com/film/the-godfather/
Dead Poets Society,https://letterboxd.com/film/dead-poets-society/
Shutter Island,https://letterboxd.com/film/shutter-island/
Call Me by Your Name,https://letterboxd.com/film/call-me-by-your-name/
Baby Driver,https://letterboxd.com/film/baby-driver/
Avengers: Endgame,https://letterboxd.com/film/avengers-endgame/
Django Unchained,https://letterboxd.com/film/django-unchained/
Hereditary,https://letterboxd.com/film/hereditary/
Ratatouille,https://letterboxd.com/film/ratatouille/
Glass Onion,https://letterboxd.com/film/glass-onion/
Fantastic Mr. Fox,https://letterboxd.com/film/fantastic-mr-fox/
Her,https://letterboxd.com/film/her/
The Social Network,https://letterboxd.com/film/the-social-network/
Scott Pilgrim vs. the World,https://letterboxd.com/film/scott-pilgrim-vs-the-world/
The Matrix,https://letterboxd.com/film/the-matrix/
Nope,https://letterboxd.com/film/nope/
Taxi Driver,https://letterboxd.com/film/taxi-driver/
Inside Out,https://letterboxd.com/film/inside-out-2015/
The Perks of Being a Wallflower,https://letterboxd.com/film/the-perks-of-being-a-wallflower/
Inside Out 2,https://letterboxd.com/film/inside-out-2-2024/
Good Will Hunting,https://letterboxd.com/film/good-will-hunting/
(500) Days of Summer,https://letterboxd.com/film/500-days-of-summer/
Guardians of the Galaxy,https://letterboxd.com/film/guardians-of-the-galaxy/
Jojo Rabbit,https://letterboxd.com/film/jojo-rabbit/
The Lord of the Rings: The Fellowship of the Ring,https://letterboxd.com/film/the-lord-of-the-rings-the-fellowship-of-the-ring/
Blade Runner 2049,https://letterboxd.com/film/blade-runner-2049/
The Shawshank Redemption,https://letterboxd.com/film/the-shawshank-redemption/
Arrival,https://letterboxd.com/film/arrival-2016/
Deadpool & Wolverine,https://letterboxd.com/film/deadpool-wolverine/
Black Panther,https://letterboxd.com/film/black-panther/
Deadpool,https://letterboxd.com/film/deadpool/
Donnie Darko,https://letterboxd.com/film/donnie-darko/
